시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지 주소,주차대수,공-사설 구분,최초안치기간,연장가능년,연장가능횟수,식당,매점,주차장,유족대기실,장애인편의시설
서울특별시,강남구,강남구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700,,www.yeaeunpark.com,0,공설,15,5,3,미설치,설치,설치,설치,미설치
서울특별시,강동구,강동구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700,,www.yeaeunpark.com/,0,공설,15,30,3,미설치,미설치,설치,설치,미설치
서울특별시,광진구,광진구추모의집,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,,http://seoulskypark.co.kr/,200,공설,15,5,3,미설치,설치,설치,미설치,설치
서울특별시,은평구,구파발성당 성요셉관,"서울특별시 은평구 진관2로 29-16 (진관동, 구파발성당)",02-389-1501,,mygupabal.or.kr,36,사설,20,20,1,미설치,미설치,설치,미설치,미설치
서울특별시,동작구,노들하늘공원(동작구추모의집),경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,,http://seoulskypark.co.kr/,200,공설,15,5,3,미설치,설치,설치,미설치,설치
서울특별시,강남구,능인불교선양원봉안당,"서울특별시 강남구 양재대로 340 (개포동, 능인선원)",02-577-5800,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
서울특별시,동작구,달마사봉안당,"서울특별시 동작구 서달로 50-26 (흑석동, 달마사)",02-822-8771,,www.dalmasa.org,30,사설,99,99,99,설치,미설치,설치,설치,미설치
서울특별시,관악구,대한불교조계종관음사,서울특별시 관악구 승방1길 109-80 (남현동),02-582-8609,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
서울특별시,도봉구,도봉구추모의집,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,,http://seoulskypark.co.kr/,200,공설,15,5,3,미설치,설치,설치,미설치,설치
서울특별시,동대문구,동대문구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700,,,0,공설,15,5,3,설치,설치,설치,설치,설치
서울특별시,서대문구,봉원사,"서울특별시 서대문구 봉원사길 120 (봉원동, 봉원사)",02-392-3007,,www.bongwonsa.or.kr,20,사설,30,0,0,미설치,미설치,설치,설치,미설치
서울특별시,마포구,부활의집,"서울특별시 마포구 토정로 6-1(합정동, 절두산순교박물관영상교육)",070-8282-8223,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
서울특별시,서대문구,서대문구추모의집,충청북도 음성군 금왕읍 덕금로 936-61 (용계리),043-881-4700,,www.yeaeunpark.com,500,공설,15,5,3,설치,설치,설치,설치,설치
서울특별시,서울특별시,서울시립승화원 추모의집,경기도 고양시 덕양구 통일로 504 (대자동),031-960-0236,031-964-8772,https://www.sisul.or.kr/open_content/memorial/,154,공설,15,5,3,설치,설치,설치,설치,설치
서울특별시,성동구,성동구추모의집,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,,http://www.skypark.co.kr/,200,공설,15,5,3,미설치,설치,설치,미설치,설치
서울특별시,성북구,성북구추모의집,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,,http://skypark2002.cafe24.com/smpark/seongbuk/standard.asp,200,공설,15,5,3,미설치,설치,설치,미설치,설치
서울특별시,관악구,약수사 봉안당,"서울특별시 관악구 약수암1길 28 (신림동, 약수사)",02-877-7514,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
서울특별시,서울특별시,용미리건물식추모의집,"경기도 파주시 광탄면 진지로 151 (용미리, 추모의집)",031-943-3937,,https://www.sisul.or.kr/open_content/memorial/,0,공설,15,5,3,설치,설치,설치,설치,설치
서울특별시,서울특별시,용미리벽식추모의집,"경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)",031-943-1930,,www.memorial-zone.or.kr,0,공설,15,5,3,설치,설치,설치,설치,설치
서울특별시,서울특별시,용미리분묘형추모의집,"경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)",031-943-1930,,https://www.sisul.or.kr/open_content/memorial/,0,공설,15,5,3,미설치,미설치,설치,설치,설치
서울특별시,서울특별시,용미리왕릉벽식추모의집,"경기도 파주시 광탄면 명봉산로262번길 290 (용미리, 용미1리1묘지공원안내실)",031-943-1930,,https://www.sisul.or.kr/open_content/memorial/,0,공설,15,5,3,미설치,미설치,설치,설치,설치
서울특별시,용산구,용산성당 베다니아의집,"서울특별시 용산구 효창원로15길 37 (산천동, 용산천주교회)",02-719-3301,,www.yongsanch.or.kr,30,사설,15,0,0,미설치,미설치,설치,미설치,미설치
서울특별시,서초구,정각사 봉안당,"서울특별시 서초구 과천대로 786 (방배동, 정각사)",02-584-1983,,https://jeonggaksa.co.kr/,50,사설,99,99,0,미설치,미설치,설치,설치,미설치
서울특별시,종로구,종로구추모의집,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,,http://skypark2002.cafe24.com/smpark/jongno/standard.asp,200,공설,15,5,3,미설치,설치,설치,미설치,설치
서울특별시,중구,중구추모의집,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,,http://seoulskypark.co.kr/,200,공설,15,5,3,미설치,설치,설치,미설치,설치
서울특별시,구로구,천주교회 구로3동 성당 봉안당,"서울특별시 구로구 디지털로27길 82 (구로동, 구로3동천주교회)",02-857-8541,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
서울특별시,서대문구,한국불교태고종 백련사봉안당,"서울특별시 서대문구 백련사길 170-72 (홍은동, 백련사)",02-302-0288,,,20,사설,99,99,99,미설치,미설치,설치,미설치,미설치
서울특별시,동작구,흑석동성당 평화의쉼터,"서울특별시 동작구 흑석로13길 3 (흑석동, 흑석동천주교회)",02-816-2919,,,0,사설,0,0,0,미설치,미설치,설치,미설치,미설치
서울특별시,은평구,흥창사,"서울특별시 은평구 통일로 1093 (진관동, 흥창사)",02-356-9075,,www.hungchangsa.com,20,사설,99,0,0,미설치,미설치,설치,설치,미설치
부산광역시,기장군,(재)실로암공원묘원 봉안묘,"부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)",051-721-5115,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
부산광역시,기장군,대정공원묘원 봉안묘,"부산광역시 기장군 정관읍 양수길 76 (용수리, 대정공원묘원관리소)",051-728-4949,,,0,사설,0,0,0,설치,설치,설치,미설치,미설치
부산광역시,기장군,메모리얼펠리스추모관(실로암),"부산광역시 기장군 철마면 사등길 181 (고촌리, 실로암공원묘원관리사무소)",051-722-5115,051-722-1268,www.siloami.com,0,사설,99,99,99,미설치,설치,설치,미설치,설치
부산광역시,기장군,백운공원묘원 제1묘원,부산광역시 기장군 정관읍 정관로 165 (두명리),051-508-2934,,,0,사설,0,0,0,미설치,미설치,설치,미설치,미설치
부산광역시,기장군,백운공원묘원 제2묘원,"부산광역시 기장군 정관읍 양수1길 17-5 (모전리, 백운묘원관리소)",051-727-3188,,,0,사설,0,0,0,미설치,미설치,설치,설치,미설치
부산광역시,금정구,부산영락공원 봉안당,부산광역시 금정구 금정도서관로 108 (두구동),051-790-5000,051-508-6024,https://yeongnakpark.bisco.or.kr/yeongnakpark/index.asp,132,공설,15,5,3,설치,설치,설치,설치,설치
부산광역시,금정구,부산영락공원 제2영락원,"부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)",051-790-5000,051-508-6024,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
부산광역시,금정구,부산영락공원 제3영락원,"부산광역시 금정구 금정도서관로 58 (두구동, 제3영락원)",051-790-5000,051-508-6024,,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
부산광역시,기장군,부산추모공원 봉안당,"부산광역시 기장군 정관읍 정관로 225 (두명리, 부산추모공원)",051-790-5100,,https://memorialpark.bisco.or.kr/memorialpark/index.asp,511,공설,15,5,3,미설치,설치,설치,설치,미설치
부산광역시,기장군,부산추모공원 봉안묘·담,"부산광역시 기장군 정관읍 정관로 225 (두명리, 부산추모공원)",051-790-5100,,https://memorialpark.bisco.or.kr/memorialpark/index.asp,0,공설,0,0,0,미설치,미설치,미설치,미설치,미설치
부산광역시,기장군,소원사,"부산광역시 기장군 정관읍 정관중앙로 198 (용수리, 소원사)",051-727-3050,,,50,사설,0,0,0,미설치,설치,설치,미설치,미설치
부산광역시,기장군,은진사 봉안당,"부산광역시 기장군 장안읍 고무로 271-47 (길천리, 은진사)",051-727-7668,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
부산광역시,연제구,정수사,부산광역시 연제구 톳고개로 60 (연산동),051-758-6022,,,80,사설,"9,999",99,0,미설치,미설치,설치,설치,미설치
부산광역시,동구,화엄사,부산광역시 동구 구봉중길 48-10 (초량동),051-468-8080,,www.skybok.kr,30,사설,0,0,0,설치,미설치,설치,설치,미설치
대구광역시,군위군,(재)신세계공원묘원 봉안묘·담,대구광역시 군위군 효령면 녹동길 129-190 (장군리),054-382-5250,054-382-9818,,0,사설,0,0,0,미설치,미설치,설치,미설치,미설치
대구광역시,군위군,가톨릭군위묘원 봉안담,대구광역시 군위군 군위읍 용대2길 258 (용대리),053-250-3000,,,100,사설,30,30,99,설치,미설치,설치,미설치,미설치
대구광역시,군위군,가톨릭군위묘원 성모의정원,대구광역시 군위군 군위읍 용대2길 258 (용대리),053-250-3000,,,0,사설,99,99,99,설치,미설치,설치,미설치,미설치
대구광역시,남구,극락사추모공원,"대구광역시 남구 명덕로54길 31 (이천동, 서봉극락암)",053-473-2002,,,0,사설,0,0,0,미설치,미설치,설치,설치,미설치
대구광역시,대구광역시,대구광역시 낙산제2추모의집,경상북도 칠곡군 지천면 낙산로 87 (낙산리),053-312-0348,,,223,공설,10,10,2,미설치,미설치,설치,미설치,미설치
대구광역시,대구광역시,대구광역시 낙산추모의집,경상북도 칠곡군 지천면 낙산로 87 (낙산리),053-312-0348,,,223,공설,10,10,2,미설치,미설치,설치,미설치,미설치
대구광역시,달성군,대한불교조계종 광덕사,"대구광역시 달성군 가창면 헐티로 1190 (용계리, 광덕사)",053-763-0068,053-767-2266,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
대구광역시,남구,대한불교조계종 대관음사 봉안당,"대구광역시 남구 중앙대로 126, 한국불교대학 대관음사 (봉덕동)",053-474-8228,,,0,사설,0,0,0,미설치,미설치,미설치,미설치,미설치
