시도,시군구,시설명,주소,전화번호,팩스주소,홈페이지 주소,주차대수,공-사설 구분,안치능력,식당,매점,주차장,유족대기실,장애인편의시설
서울특별시,서울특별시,용미리 제1묘지 자연장지,경기도 파주시 광탄면 용미리 산107,031-943-1930,031-943-1931,https://www.sisul.or.kr/open_content/memorial/use/nature.jsp,,공설,0,미설치,미설치,미설치,미설치,미설치
대구광역시,군위군,(재)신세계공원묘원(자연장지),대구광역시 군위군 효령면 녹동길 129-190 (장군리),054-382-5250,054-382-9818,,,사설,0,미설치,미설치,미설치,미설치,미설치
대구광역시,대구광역시,대구시립공원묘지(자연장),경상북도 칠곡군 지천면 낙산로 87 (낙산리),053-803-6262,,https://www.law.go.kr/자치법규/대구광역시장사시설의설치및운영조례,,공설,0,미설치,미설치,미설치,미설치,미설치
대구광역시,달성군,대한불교조계종 남지장사,"대구광역시 달성군 가창면 남지장사길 95 (우록리, 남지장사)",053-768-9920,053-768-3334,namgijangsa.or.kr,50,사설,0,미설치,미설치,설치,설치,미설치
인천광역시,강화군,강화해누리공원,인천광역시 강화군 내가면 황청리 산170-1 일원,032-930-7144,032-932-9470,https://www.law.go.kr/자치법규/강화군해누리공원관리및운영조례/,,공설,0,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,선재리공설묘지 자연장지,인천광역시 옹진군 영흥면 선재리 산32,032-899-2333,,,,공설,128,미설치,미설치,미설치,미설치,미설치
인천광역시,옹진군,연평리공설묘지 자연장지,인천광역시 옹진군 연평면 연평리 661-5,032-899-2333,,,,공설,104,미설치,미설치,미설치,미설치,미설치
인천광역시,강화군,월곳리 공설자연장지,인천광역시 강화군 강화읍 월곳리 산8,032-934-0003,,,30,공설,1284,미설치,미설치,설치,설치,미설치
인천광역시,옹진군,이작리공설묘지 자연장지,인천광역시 옹진군 자월면 이작리 산289,032-899-2333,,,,공설,90,미설치,미설치,미설치,미설치,미설치
인천광역시,부평구,인천가족공원 자연장지,인천광역시 부평구 평온로 61 (부평동),032-456-2320,032-456-2324,www.insiseol.or.kr/life/family,,공설,6315,설치,설치,설치,설치,설치
인천광역시,옹진군,장봉리공설묘지 자연장지,인천광역시 옹진군 북도면 장봉리 산177,032-899-2333,,,,공설,78,미설치,미설치,미설치,미설치,미설치
광주광역시,북구,광주영락공원 청마루동산,광주광역시 북구 영락공원로 170 (효령동),062-572-4384,062-572-1702,www.cyberyoungrak.or.kr/cms/bbs/dk_content.php?ht_id=cyber_02_4,10,공설,15000,설치,설치,설치,설치,미설치
광주광역시,북구,망월묘지공원(자연장),"광주광역시 북구 민주로 285 (운정동, 망월동묘지공원관리사무소)",062-572-1701,,,,공설,0,미설치,미설치,미설치,미설치,미설치
광주광역시,광산구,목자은혜교회,광주광역시 광산구 송학동 424-1,062-449-4446,,blog.naver.com/888time,10,사설,0,미설치,미설치,설치,설치,미설치
대전광역시,서구,대전추모공원 자연장지,대전광역시 서구 상보안윗길 160 (괴곡동),042-602-2500,042-585-4707,,418,공설,3656,설치,설치,설치,설치,설치
울산광역시,울산광역시,울산하늘공원 자연장지,울산광역시 울주군 삼동면 보삼길 550 (조일리),052-255-3800,052-255-3809,,10,공설,60500,설치,설치,설치,설치,설치
세종특별자치시,세종특별자치시,세종수목장,세종특별자치시 전의면 부거실길 135-11 (달전리),044-864-4746,,www.세종수목장.com,15,사설,2395,미설치,미설치,설치,설치,미설치
세종특별자치시,세종특별자치시,은하수공원 자연장지,"세종특별자치시 정안세종로 1527 (산울동, 은하수공원)",044-850-1340 ,044-863-0764,wwwsjfmcorkr/eunhasudo,20,공설,77701,설치,설치,설치,설치,설치
경기도,양평군,(사)씨앤에이미션 자연장지,경기도 양평군 양동면 다락근이길 57-18 (단석리),031-775-6945,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,평택시,(재)서호추모공원 자연장지,경기도 평택시 청북읍 고렴길 161-12 (고렴리),031-683-4505,,www.seohopark.kr,,사설,524,설치,미설치,설치,설치,설치
경기도,여주시,(재)여주세종추모공원 자연장,경기도 여주시 흥천면 샘다리길 105 (흥천면 상대리 27-6) ,031-886-4060,,www.세종공원.kr,200,사설,8000,미설치,미설치,설치,설치,설치
경기도,남양주시,(재)영락교회공원묘원 자연장지,경기도 남양주시 진건읍 사릉로264번길 140-16 (사능리),031-573-8123,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,용인시,(재)용인공원(자연장),"경기도 용인시 처인구 모현읍 새래로 158-33 (초부리, 용인공원묘지)",031-334-3484,,www.yongin-park.com,2000,사설,65690,설치,설치,설치,미설치,미설치
경기도,용인시,(재)용인추모원 자연장지,"경기도 용인시 기흥구 중부대로 972 (상하동, 재단법인용인추모원)",031-283-1601,,www.yich.co.kr,60,사설,600,미설치,설치,설치,설치,설치
경기도,화성시,(재)효원가족공원 자연장지,경기도 화성시 만세구 향남읍 서봉로755번길 17-15 (동오리),031-354-2325,031-354-2327,,200,사설,540,미설치,설치,설치,미설치,설치
